full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,94567,94567,13577,3470,3470,2106,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,128438,128438,17951,1684,1684,625,https://github.com/affaan-m/everything-claude-code
claude-code-best/claude-code,4458,4458,5872,2934,2934,3689,https://github.com/claude-code-best/claude-code
Kuberwastaken/claude-code,4653,4653,5759,1431,1431,1281,https://github.com/Kuberwastaken/claude-code
shareAI-lab/learn-claude-code,45767,45767,7159,629,629,189,https://github.com/shareAI-lab/learn-claude-code
sanbuphy/claude-code-source-code,8860,8860,16815,4805,4805,8939,https://github.com/sanbuphy/claude-code-source-code
ChinaSiro/claude-code-sourcemap,6350,6350,11234,1781,1781,3097,https://github.com/ChinaSiro/claude-code-sourcemap
jarmuine/claude-code,884,884,3341,329,329,1283,https://github.com/jarmuine/claude-code
hesreallyhim/awesome-claude-code,35219,35219,2635,143,143,41,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30918,30918,2398,40,40,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23952,23952,2333,28,28,11,https://github.com/davila7/claude-code-templates
pengchengneo/Claude-Code,648,648,1379,188,188,449,https://github.com/pengchengneo/Claude-Code
shanraisshan/claude-code-best-practice,29341,29341,2504,717,717,96,https://github.com/shanraisshan/claude-code-best-practice
instructkr/claw-code,84288,84288,81935,24553,24553,20434,https://github.com/instructkr/claw-code
VoltAgent/awesome-claude-code-subagents,15852,15852,1785,31,31,5,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6789,6789,1631,15,15,5,https://github.com/anthropics/claude-code-action
oboard/claude-code-rev,1584,1584,2354,653,653,905,https://github.com/oboard/claude-code-rev
Onewon/claude-code,93,93,1217,29,29,454,https://github.com/Onewon/claude-code
Piebald-AI/claude-code-system-prompts,7719,7719,1311,268,268,173,https://github.com/Piebald-AI/claude-code-system-prompts
NanmiCoder/claude-code-haha,1316,1316,1826,1316,1316,1826,https://github.com/NanmiCoder/claude-code-haha
diet103/claude-code-infrastructure-showcase,9389,9389,1201,4,4,1,https://github.com/diet103/claude-code-infrastructure-showcase
tanbiralam/claude-code,337,337,605,117,117,229,https://github.com/tanbiralam/claude-code
Donchitos/Claude-Code-Game-Studios,7709,7709,1137,45,45,13,https://github.com/Donchitos/Claude-Code-Game-Studios
ponponon/claude_code_src,941,941,1907,513,513,1082,https://github.com/ponponon/claude_code_src
frankbria/ralph-claude-code,8319,8319,606,2,2,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,7009,7009,485,11,11,2,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5657,5657,499,6,6,0,https://github.com/ChrisWiles/claude-code-showcase
beita6969/claude-code,184,184,457,31,31,69,https://github.com/beita6969/claude-code
hangsman/claude-code-source,521,521,1297,107,107,277,https://github.com/hangsman/claude-code-source
pedrohcgs/claude-code-my-workflow,815,815,1558,1,1,13,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3761,3761,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3339,3339,443,6,6,1,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26126,26126,10001,23,23,41,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3451,3451,587,3,3,1,https://github.com/disler/claude-code-hooks-mastery
sickn33/antigravity-awesome-skills,29579,29579,4933,99,99,18,https://github.com/sickn33/antigravity-awesome-skills
zebbern/claude-code-guide,3776,3776,355,7,7,3,https://github.com/zebbern/claude-code-guide
anthropics/skills,107858,107858,11994,299,299,60,https://github.com/anthropics/skills
kodu-ai/claude-coder,5286,5286,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7252,7252,354,12,12,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
devnerdly/claude-code-copy,2,2,8034,2,2,8034,https://github.com/devnerdly/claude-code-copy
Yuyz0112/claude-code-reverse,2315,2315,386,0,0,3,https://github.com/Yuyz0112/claude-code-reverse
codeaashu/claude-code,157,157,287,157,157,287,https://github.com/codeaashu/claude-code
Leonxlnx/claude-code-system-prompts,1382,1382,663,288,288,108,https://github.com/Leonxlnx/claude-code-system-prompts
fuergaosi233/claude-code-proxy,2306,2306,324,11,11,1,https://github.com/fuergaosi233/claude-code-proxy
LING71671/Open-ClaudeCode,148,148,220,148,148,220,https://github.com/LING71671/Open-ClaudeCode
anthropics/claude-code-security-review,4093,4093,348,5,5,4,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2300,2300,305,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2660,2660,383,14,14,3,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2547,2547,274,5,5,6,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,757,757,591,14,14,1,https://github.com/anthropics/claude-code-base-action
VineeTagarwaL-code/claude-code,199,199,198,39,39,37,https://github.com/VineeTagarwaL-code/claude-code
ding113/claude-code-hub,2239,2239,253,6,6,0,https://github.com/ding113/claude-code-hub
huangserva/claude-code-cli,258,258,645,258,258,645,https://github.com/huangserva/claude-code-cli
zstmfhy/Claude-code,126,126,226,19,19,36,https://github.com/zstmfhy/Claude-code
router-for-me/CLIProxyAPI,21811,21811,3590,97,97,15,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,470,470,639,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
obra/superpowers,128816,128816,10564,663,663,82,https://github.com/obra/superpowers
edmund-io/edmunds-claude-code,1375,1375,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
